id,from_pms,sikka_sub_task,sikka_sub_task_operation,last_updated,category,health_category,office,name,procedure_code,procedure_code_description,abbreaviation,procedure_code_category,procedure_code_category_id,explosion_code,submit_to_insurance,allow_discount,procedure_code_effect_on_patient_balance,procedure_code_effect_on_provider_production,procedure_code_effect_on_provider_collection,procedure_code_type,notes,patient_friendly_description,link,price,tooth_quad,estimated_cost,insurance_estimate,discount
191,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13241,Oral Hygiene Instruction Audio Visual One unit,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction - audio-visual - One unit of time (15 minutes),Oral Hygiene Instruction - Audio/Visual,,No Fee,,,,
5031,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,4922,Casts Diagnostic Mounted (Using Face Bow transfer+L),,Other Diagnostic Services,,,,,,,,,,,,,,,,
5032,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,4921,!!!Diagnostic Casts Mounted Using Face Bow Tranfer,,Other Diagnostic Services,,,,,,,,,,,,,,,,
5033,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,4913,Casts Diagnostic UnmountedUpper & Lower Combo+L,,Other Diagnostic Services,,,,,,,,,,,,,,,,
5034,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,4912,Cast Diagnostic Unmounted Duplicate +L,,Other Diagnostic Services,,,,,,,,,,,,,,,,
46,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2145,Oral Radiographs,,,,,,,,,,,"Radiographs, Regional/Localized, Bitewing - Five images",Oral Radiographs,,72,,,,
4080,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99989,!!!Endodontic Services:(Per Tooth)            _________,,,,,,,,,,,,,,,,,,
4086,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99983,Oral Hygiene Instructions:(Fee Only) _______________,,,,,,,,,,,,,,,,,,
10730,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99121,[E] Materials including medications used during the del,,L,,,,,,,,,,,,,,,,
10732,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,99112,[L] Work performed by an in-house dental laboratory (an,,L,,,,,,,,,,,,,,,,
4400,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58230,!!!Feeding Appliances For Infants With Cleft Plate,,,,,,,,,,,,,,,,,,
4401,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58219,!!!Customized Skull Plate,,,,,,,,,,,,,,,,,,
4439,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57311,!!!Feeding Appliance (For Infants With Cleft Palate)+L,,,,,,,,,,,,,,,,,,
4440,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57309,!!!Akerman Pseudotemperomandibular Joint(Prosthesis Ext,,,,,,,,,,,,,,,,,,
4441,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57308,!!!Skull Plate Customized +L,,,,,,,,,,,,,,,,,,
4443,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57306,!!!Implant Silastic Chin +L,,,,,,,,,,,,,,,,,,
4503,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,55105,!!!Replacement Of Teeth On A Partial Or Full Denture,,,,,,,,,,,,,,,,,,
4777,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33431,!!!One Canal Primary Tooth More than One Root,,Endodontic Services,,,,,,,,,,,,,,,,
4778,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33430,!!!One Canal Primary Tooth One Root,,Endodontic Services,,,,,,,,,,,,,,,,
221,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14711,Appliance TMJ Diagnostic Maxillary +L,,,,,,,,,,,"Appliance, TMJ, Diagnostic and/or Therapeutic, Includes Impression, Insertion and Insertion Adjustment (no post insertion adjustments) - Maxillary Appliance + L",TMJ Mouth Guard Appliance - Upper Teeth,,468,,,,
220,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14631,Appliances  Reline (includg Bruxism appliance) Direct,,,,,,,,,,,"Appliances, Reline - Reline, Direct",Oral Appliance - Reline,,200,,,,
208,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14319,Myofunctional Therapy-each additional unit over two,,,,,,,,,,,"Myofunctional Therapy (e.g. to correct mouth breathing, abnormal swallowing, tongue thrust, etc.) - Each additional unit over two (15 minutes)",Myofunctional Therapy - Additional unit of time over two,,105,,,,
4963,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,11503,!!!Recall Package IV Permanent Dentition/Scaling/Polish,,Prophylaxis/Fluoride,,,,,,,,,,,,,,,,
42,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2141,Oral Radiographs,,,,,,,,,,,"Radiographs, Regional/Localized, Bitewing - Single image",Oral Radiographs,,40,,,,
43,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2142,Oral Radiographs,,,,,,,,,,,"Radiographs, Regional/Localized, Bitewing - Two images",Oral Radiographs,,47,,,,
4119,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,93310,"!!!Completing ""Blank"" Approved Claim Forms",,,,,,,,,,,,,,,,,,
4504,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,55104,!!!Repair Broken Partial Mandibular DentureNo Impressi,,,,,,,,,,,,,,,,,,
4776,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33501,!!!Apexification - One Canal,,Endodontic Services,,,,,,,,,,,,,,,,
47,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2146,Oral Radiographs,,,,,,,,,,,"Radiographs, Intraoral, Regional/Localized, - Six images",Oral Radiographs,,80,,,,
228,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14739,Appliance TMJ Periodic Maintenance Adj Repair-3+U+L,,,,,,,,,,,"Appliance, TMJ, Periodic Maintenance, Adjustment, Repair - Each additional unit over three (15 minutes)",TMJ Mouth Guard - Periodic Maintenance and Adjustment - Additional unit of time over three,,119,,,,
184,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13223,Group Oral Hygiene Instruction-No audio/video-3 units,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Group Instruction - excluding audio-visual time - Three units (45 minutes),Oral Hygiene Instruction,,172,,,,
182,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13221,Group Oral Hygiene Instruction-No audio/video-1 unit,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Group Instruction - excluding audio-visual time - One unit of time (15 minutes),Oral Hygiene Instruction,,58,,,,
180,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13214,Individual Oral Hygiene Instruction-No audio/video-4u,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Individual Instruction (one instructor to one patient) - excluding audio-visual time - Four units (60 minutes),Oral Hygiene Instruction,,230,,,,
179,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13213,Individual Oral Hygiene Instruction-No audio/video-3u,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Individual Instruction (one instructor to one patient) - excluding audio-visual time - Three units (45 minutes),Oral Hygiene Instruction,,172,,,,
178,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13212,Individual Oral Hygiene Instruction-No audio/video-2u,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Individual Instruction (one instructor to one patient) - excluding audio-visual time - Two units (30 minutes),Oral Hygiene Instruction,,115,,,,
177,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13211,Individual Oral Hygiene Instruction-No audio/video-1u,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Individual Instruction (one instructor to one patient) - excluding audio-visual time - One unit of time (15 minutes),Oral Hygiene Instruction,,58,,,,
176,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13109,Nutritional Counselling Each additional unit over four,,,,,,,,,,,Nutritional Counselling - Each additional over four (15 minutes),Nutritional Counselling  - Additional units over four units of time,,58,,,,
5008,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,7029,Radiographs CBCT Image Processing each add't over 2un,,Other Diagnostic Services,,,,,,,,,,,,,,,,
5056,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,4729,Wax-Up Diagnostic To Evaluate Cosmetic or Prep 4+u +L,,Other Diagnostic Services,,,,,,,,,,,,,,,,
44,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2143,Oral Radiographs,,,,,,,,,,,"Radiographs, Regional/Localized, Bitewing - Three images",Oral Radiographs,,55,,,,
45,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2144,Oral Radiographs,,,,,,,,,,,"Radiographs, Regional/Localized, Bitewing - Four images",Oral Radiographs,,59,,,,
122,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,4731,Split Cast Mounting - 1 Unit of Time,,,,,,,,,,,"Split Cast Mounting, Diagnostic + L - One unit of time (15 minutes) + L",Split Cast Mounting - 1 Unit of Time,,I.C.,,,,
4169,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,92259,!!!Neuroleptanalgesia Over Eight Units,,Anaesthetic Services,,,,,,,,,,,,,,,,
4206,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,81214,!!!Simple Alignment Of Incisor Teeth - Mandibular,,Orthodontic Services,,,,,,,,,,,,,,,,
1195,TRUE,SikkaTaskLog object (918),update,,,ORTHODONTICS,21-Dentalhouse - Woodbridge Dental,,81212,Appliance Fixed Space Regaining Mandibular +L,,Orthodontic Services,,,,,,,,,"Appliance, Fixed, Space Regaining (e.g. lingual or labial arch with molar bands, tubes, locks) - Appliance, Mandibular + L",Fixed device to create space for lower teeth,,546,,,,
1186,TRUE,SikkaTaskLog object (918),update,,,ORTHODONTICS,21-Dentalhouse - Woodbridge Dental,,81122,ApplianceRemovableCross-Bite CorrectionMandSimple+L,,Orthodontic Services,,,,,,,,,"Appliances, Removable, Cross-Bite Correction - Appliance, Mandibular, Simple + L",Simple removable device to correct lower cross-bite,,328,,,,
4232,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,80652,!!!Recementation Fixed Appliances Two Units,,Orthodontic Services,,,,,,,,,,,,,,,,
1170,TRUE,SikkaTaskLog object (918),update,,,ORTHODONTICS,21-Dentalhouse - Woodbridge Dental,,80632,Repairs to Removable or Fixed Appliances-2 units+L,,Orthodontic Services,,,,,,,,,Repairs to Removable or Fixed Appliances (not including removal and recementation) - Two units (30 minutes) +L,"Repairing braces or dental devices, 30 minutes",,I.C.,,,,
1143,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,79514,Harvest Intraoral Tissue for Grafting to Op Site-Mucosa,,,,,,,,,,,Harvesting of Intraoral Tissue for Grafting to Operative Site ??Mucosa,Taking soft tissue from inside the mouth for grafting,,I.C.,,,,
1128,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,79332,Oro-Antral Fistula Closure with Gold Plate +L Same,,Surgery,,,,,,,,,"Antral Surgery, Oro-Antral Fistula Closure, same session - Oro-Antral Fistula Closure with Gold Plate +L",Closing a mouth-sinus opening with a gold plate in the same session,,I.C.,,,,
4248,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,79308,!!!Closure Of Oro-Antral Fistula With Palatal Flap,,Surgery,,,,,,,,,,,,,,,,
1119,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,78103,TMJ Dislocation Closed Reduction Complicated GA/Seda,,Surgery,,,,,,,,,"TMJ, Dislocation, Closed Reduction, Complicated (Requiring Sedation or General Anaesthesia)",Non-surgical reduction of a complex jaw joint dislocation requiring sedation,,I.C.,,,,
4261,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,76969,!!!Repair Lacerations Uncomplicated 4-6cm,,Surgery,,,,,,,,,,,,,,,,
1104,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,76911,FractureAlveolarDebridementTeeth Removed-3cm Or Less,,Surgery,,,,,,,,,"Fracture, Alveolar, Debridement, Teeth Removed - 3 cm or less",Cleaning a small jaw fracture and removing teeth (3 cm or less),,I.C.,,,,
1103,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,76304,Fractures Reduction Maxillary Open Multiple,,Surgery,,,,,,,,,"Reduction, Maxillary, Open, Multiple",Surgical reduction of multiple upper jaw fractures,,I.C.,,,,
4445,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57304,!!!Retention Magnetic (Prosthesis Extra)+L,,,,,,,,,,,,,,,,,,
4505,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,55103,!!!Repair Broken Partial Maxillary DentureNo Impressio,,,,,,,,,,,,,,,,,,
492,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29332,Remove Compromised Mesostructure(to be reseated)2u,,,,,,,,,,,Removal of Compromised Mesostructure (to be replaced) - Two units (30 minutes),Removal of Compromised Implant Abutment ,,226,,,,
491,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29331,Remove Compromised Mesostructure(to be reseated)1u,,,,,,,,,,,Removal of Compromised Mesostructure (to be replaced) - One unit of time (15 minutes),Removal of Compromised Implant Abutment ,,115,,,,
481,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29303,Remove Inlay/Onlay/Crown/Veneer(single unit only)3 unit,,,,,,,,,,,"Removal, Inlays/Onlays/Crowns/Veneers (single units only) - Three units (45 minutes)",Removal of Inlays/Onlays/Crowns/Veneers ,,307,,,,
236,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14901,Appliances intra oral Snoring UARS Apnea,,,,,,,,,,,"Appliance, Intraoral, For the Treatment of Obstructive Airway Disorders, Ridge or Tooth Supported +L",Intraoral Appliance for the Treatment of Obstructive Airway Disorders,,I.C.,,,,
185,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,13224,Group Oral Hygiene Instruction-No audio/video-4 units,,Oral Hygiene,,,,,,,,,Oral Hygiene Instruction/Plaque Control - Group Instruction - excluding audio-visual time - Four units (60 minutes),Oral Hygiene Instruction,,230,,,,
5164,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,2146,Radiographs Intraoral Bitewing - 6 Images,,Radiographs,,,,,,,,,,,,,,,,
86,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2809,"Computerized Axial Tomograms (CT), Positron Emission Tomography (P.E.T.) and Magnetic Resonance Images (M.R.I) Interpretation - Additional",,,,,,,,,,,"Radiographs, Computerized Axial Tomograms (CT), Positron Emission Tomography (P.E.T.), Magnetic Resonance Images (M.R.I), Interpretation (either the radiographs, CT scans, PET scans, MRI scans, or the interpretation must be received from another source) - Each additional unit over two (15 minutes) + PS","Computerized Axial Tomograms (CT), Positron Emission Tomography (P.E.T.) and Magnetic Resonance Images (M.R.I) Interpretation - Additional",,99,,,,
4274,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,74408,!!!Excision of Cyst Not In Conjuction with Tooth Remova,,Surgery,,,,,,,,,,,,,,,,
4287,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,72641,!!!Enucleation Surgical Unerupted Tooth And Follicle,,Surgery,,,,,,,,,,,,,,,,
4290,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,72430,!!!Transplant Of A Tooth,,Surgery,,,,,,,,,,,,,,,,
147,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,5109,Treatment planning - Each additional unit over 4,,,,,,,,,,,Treatment planning - Each additional unit over four (15 minutes),Treatment planning - Each additional unit over 4,,I.C.,,,,
4300,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,72210,!!!Extraction Soft Tissue Coverage & Removal Of The Too,,Surgery,,,,,,,,,,,,,,,,
4317,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,69811,!!!Fixed Prostho Framework Osseo-Integratd Maxillary+L,,,,,,,,,,,,,,,,,,
4329,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,67359,!!!Retainer Prefabricated/Custom Cast To Transmucosal C,,,,,,,,,,,,,,,,,,
4344,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,67149,!!!Plastic/Acrylic To Metal To Implants Additional,,,,,,,,,,,,,,,,,,
4345,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,67142,!!!Plastic/Acrylic Retainer Attached To Additional Impl,,,,,,,,,,,,,,,,,,
4358,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,66400,!!!Replace Broken Facing With Acrylic,,,,,,,,,,,,,,,,,,
723,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS FIXED,21-Dentalhouse - Woodbridge Dental,,64301,Master Cast Mounting Gnathological Wax-Up - 1 Unit,,,,,,,,,,,Master Cast Mounting Gnathological Wax-up - One unit of time (15 minutes) + L,Master Cast Mounting Gnathological Wax-up,,I.C.,,,,
4370,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,64209,!!!Master Cast Mounting Over Four Units,,,,,,,,,,,,,,,,,,
4386,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,62100,!!!Cast Metal Pontic,,,,,,,,,,,,,,,,,,
4397,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58410,!!!Trismus Physiotherapy Exerciser,,,,,,,,,,,,,,,,,,
4408,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58208,!!!Velar Bulb (PUD And Obturator Extra),,,,,,,,,,,,,,,,,,
4770,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33513,!!!Insertion Of Dentogenic Media Three Canals,,Endodontic Services,,,,,,,,,,,,,,,,
4775,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,33502,!!!Apexification - Two Canals,,Endodontic Services,,,,,,,,,,,,,,,,
495,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29341,Removal and Replacement Healing Abutment with new-1u,,,,,,,,,,,Removal and Replacement of Healing Abutment with a new Healing Abutment (to stimulate improved gingival emergence profile) - One unit of time (15 minutes) + E,Removal and Replacement of Healing Abutment with a new Healing Abutment,,99,,,,
237,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14902,Appliance Tongue Restraining Snoring UARS Apnea,,,,,,,,,,,"Appliance, Tongue Retaining Device, for the Treatment of Obstructive Airway Disorders +E",Tongue Retaining Device for the Treatment of Obstructive Airway Disorders,,I.C.,,,,
234,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14823,Appliance MPDS MaintainAdj Repair 3U+L,,,,,,,,,,,"Appliances, Myofascial Pain Syndrome, Periodic Maintenance, Adjustment and Repairs - Three units (45 minutes) + L",Oral Appliance for Muscle and Facial Pain Syndrome - Periodic Maintenance and Adjustment,,376,,,,
217,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14622,Appliances Adjust Repair (includg Bruxism appl) 2U+L,,,,,,,,,,,"Appliances, Adjustment, Repair - Two units (30 minutes) + L",Oral Appliance - Adjustment and Repair,,200,,,,
211,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14403,AppliancesControl Oral HabitsAdjRepairMaintain-3u+L,,,,,,,,,,,"Appliances, Control of Oral Habits, Adjustments, Repairs, Maintenance - Three units (45 minutes) + L","Appliance to Control Oral Habits - Adjustments, Repairs and Maintenance",,I.C.,,,,
210,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,14402,AppliancesControl Oral HabitsAdjRepairMaintain-2u+L,,,,,,,,,,,"Appliances, Control of Oral Habits, Adjustments, Repairs, Maintenance - Two units (30 minutes) + L","Appliance to Control Oral Habits - Adjustments, Repairs and Maintenance",,I.C.,,,,
117,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,4721,Diagnostic (to evaluate cosmetic and/or preparation design and/or occlusal considerations) Wax-up Models - 1 Unit of Time,,,,,,,,,,,"Wax-up, Diagnostic (to evaluate cosmetic and/or preparation design and/or occlusal considerations) (gnathological wax-up) + L - One unit of time (15 minutes) + L",Diagnostic (to evaluate cosmetic and/or preparation design and/or occlusal considerations) Wax-up Models - 1 Unit of Time,,I.C.,,,,
4457,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,57201,!!!Obturator Cleft Palate (Prostheses Extra),,,,,,,,,,,,,,,,,,
4468,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,56513,!!!Tissue Conditioning Combined Complete Dentures,,,,,,,,,,,,,,,,,,
